id_usuario,género,edad,país,tipo_suscripción,tiempo_escucha,canciones_por_día,tasa_de_saltos,tipo_de_dispositivo,anuncios_por_semana,escucha_sin_conexion,cancelo_suscripcion
25,Otro,32,Canadá,Premium,133,22,0.59,Computadora,0,Sí,No
26,Femenino,19,EE.UU.,Estudiante,39,29,0.53,Computadora,0,Sí,No
27,Masculino,28,IN,Gratis,293,67,0.33,Móvil,23,No,Sí
28,Otro,58,Francia,Gratis,15,55,0.3,Móvil,35,No,No
29,Masculino,33,Francia,Gratis,123,13,0.22,Computadora,7,No,No
30,Femenino,22,Francia,Premium,18,12,0.39,Móvil,0,Sí,No
31,Otro,44,Reino Unido,Premium,149,45,0.22,Web,0,Sí,No
32,Masculino,53,EE.UU.,Estudiante,72,12,0.17,Web,0,Sí,No
33,Femenino,49,IN,Premium,291,74,0.11,Móvil,0,Sí,No
34,Masculino,49,EE.UU.,Familiar,147,52,0.43,Web,0,Sí,No
35,Femenino,55,Francia,Premium,18,2,0.04,Móvil,0,Sí,No
36,Otro,24,Alemania,Gratis,59,53,0.18,Web,28,No,Sí
37,Masculino,22,Alemania,Estudiante,280,99,0.29,Computadora,0,Sí,No
38,Femenino,50,EE.UU.,Familiar,117,98,0.04,Móvil,0,Sí,No
39,Femenino,42,Alemania,Familiar,47,59,0.06,Computadora,0,Sí,No
40,Masculino,17,Alemania,Familiar,260,44,0.5,Computadora,0,Sí,Sí
41,Femenino,51,Reino Unido,Premium,122,16,0.54,Computadora,0,Sí,No
42,Femenino,46,EE.UU.,Estudiante,255,14,0.39,Computadora,0,Sí,No
43,Masculino,22,Alemania,Familiar,49,39,0.51,Móvil,0,Sí,No
44,Masculino,37,Alemania,Familiar,90,89,0.4,Móvil,0,Sí,No
45,Masculino,39,PK,Familiar,288,69,0.48,Web,0,Sí,No
46,Femenino,18,PK,Premium,255,3,0.39,Web,0,Sí,No
47,Femenino,56,Canadá,Estudiante,255,75,0.58,Computadora,0,Sí,No
48,Masculino,58,EE.UU.,Familiar,26,23,0.08,Móvil,0,Sí,No
49,Otro,59,EE.UU.,Familiar,238,60,0.29,Computadora,0,Sí,No
50,Masculino,50,PK,Gratis,241,7,0.56,Computadora,22,No,Sí
51,Femenino,45,Canadá,Premium,124,98,0.36,Computadora,0,Sí,No
52,Otro,56,Francia,Premium,175,67,0.38,Web,0,Sí,No
53,Femenino,38,Australia,Gratis,41,3,0.0,Computadora,43,No,Sí
54,Masculino,57,Alemania,Gratis,222,96,0.26,Web,15,No,No
55,Femenino,46,Reino Unido,Familiar,121,71,0.32,Computadora,0,Sí,No
56,Femenino,41,IN,Familiar,277,2,0.59,Web,0,Sí,No
57,Otro,19,IN,Gratis,107,82,0.11,Computadora,12,No,Sí
58,Masculino,48,Francia,Estudiante,198,63,0.23,Computadora,0,Sí,No
59,Otro,22,Alemania,Gratis,59,51,0.42,Computadora,19,No,No
60,Otro,17,IN,Estudiante,95,79,0.53,Web,0,Sí,Sí
61,Femenino,25,Reino Unido,Premium,262,23,0.17,Web,0,Sí,No
62,Otro,49,PK,Estudiante,169,26,0.56,Móvil,0,Sí,No
63,Otro,59,IN,Gratis,25,32,0.2,Móvil,38,No,No
64,Femenino,45,Canadá,Familiar,55,67,0.51,Móvil,0,Sí,Sí
65,Masculino,45,IN,Estudiante,161,42,0.4,Computadora,0,Sí,Sí
66,Otro,21,Francia,Familiar,77,42,0.56,Web,0,Sí,No
67,Masculino,45,Alemania,Gratis,152,32,0.49,Móvil,14,No,Sí
68,Femenino,45,Reino Unido,Gratis,156,51,0.14,Computadora,18,No,No
69,Otro,22,Australia,Estudiante,99,43,0.17,Computadora,0,Sí,No
70,Femenino,56,EE.UU.,Gratis,181,40,0.21,Móvil,10,No,No
71,Otro,51,Australia,Estudiante,265,81,0.36,Web,0,Sí,No
72,Femenino,22,Australia,Familiar,131,70,0.35,Web,0,Sí,No
73,Otro,33,Canadá,Estudiante,19,68,0.32,Computadora,0,Sí,Sí
74,Otro,59,Australia,Familiar,201,15,0.05,Móvil,0,Sí,No
75,Masculino,41,Alemania,Familiar,223,53,0.33,Web,0,Sí,No
76,Masculino,25,Reino Unido,Premium,111,83,0.19,Computadora,0,Sí,No
77,Masculino,41,Francia,Familiar,81,6,0.47,Móvil,0,Sí,No
78,Otro,30,Francia,Familiar,124,73,0.43,Móvil,0,Sí,No
79,Masculino,23,EE.UU.,Gratis,13,30,0.24,Móvil,32,No,No
80,Femenino,47,PK,Premium,31,72,0.53,Computadora,0,Sí,Sí
81,Masculino,34,Australia,Premium,277,87,0.3,Web,0,Sí,No
82,Otro,45,Francia,Estudiante,181,69,0.59,Web,0,Sí,No
83,Otro,32,PK,Gratis,167,4,0.56,Móvil,35,No,No
84,Otro,51,Canadá,Gratis,105,11,0.03,Web,29,No,No
85,Otro,21,Francia,Estudiante,202,79,0.45,Computadora,0,Sí,No
86,Femenino,20,IN,Familiar,284,38,0.23,Web,0,Sí,No
87,Masculino,21,EE.UU.,Premium,125,82,0.43,Web,0,Sí,No
88,Femenino,44,Reino Unido,Gratis,237,36,0.37,Web,20,No,No
89,Otro,50,PK,Familiar,99,15,0.15,Móvil,0,Sí,No
90,Otro,52,Alemania,Estudiante,224,49,0.38,Computadora,0,Sí,No
91,Masculino,43,Reino Unido,Gratis,195,80,0.17,Web,28,No,No
92,Femenino,41,PK,Premium,173,85,0.22,Web,0,Sí,No
93,Femenino,57,IN,Familiar,210,7,0.25,Web,0,Sí,No
94,Otro,50,Reino Unido,Gratis,85,7,0.45,Computadora,44,No,No
95,Femenino,35,Francia,Familiar,93,1,0.4,Móvil,0,Sí,No
96,Otro,51,IN,Estudiante,222,97,0.03,Computadora,0,Sí,Sí
97,Masculino,34,Canadá,Premium,196,69,0.07,Web,0,Sí,No
98,Femenino,47,EE.UU.,Familiar,215,13,0.02,Móvil,0,Sí,Sí
99,Masculino,19,PK,Familiar,22,45,0.29,Web,0,Sí,Sí
100,Femenino,30,Reino Unido,Estudiante,283,13,0.02,Computadora,0,Sí,No
101,Femenino,27,Francia,Gratis,40,15,0.5,Web,16,No,No
102,Masculino,25,Alemania,Estudiante,251,91,0.12,Computadora,0,Sí,No
103,Femenino,47,Australia,Familiar,240,61,0.56,Móvil,0,Sí,No
104,Masculino,33,EE.UU.,Familiar,160,76,0.06,Web,0,Sí,No
105,Masculino,46,Canadá,Gratis,114,11,0.24,Web,19,No,No
106,Otro,50,Australia,Estudiante,251,9,0.39,Web,0,Sí,No
107,Masculino,31,Francia,Estudiante,181,89,0.11,Computadora,0,Sí,Sí
108,Femenino,45,Francia,Premium,215,16,0.26,Web,0,Sí,No
109,Masculino,51,Francia,Estudiante,119,11,0.05,Computadora,0,Sí,No
110,Otro,33,Canadá,Premium,224,34,0.11,Móvil,0,Sí,No
111,Masculino,42,Alemania,Premium,31,61,0.29,Móvil,0,Sí,No
112,Masculino,16,Canadá,Familiar,17,10,0.27,Computadora,0,Sí,No
113,Otro,31,Francia,Estudiante,174,29,0.13,Computadora,0,Sí,Sí
114,Masculino,40,Australia,Familiar,31,48,0.33,Web,0,Sí,No
115,Masculino,57,Francia,Estudiante,84,40,0.58,Computadora,0,Sí,No
116,Femenino,17,Canadá,Gratis,198,31,0.07,Web,6,No,No
117,Masculino,31,Canadá,Estudiante,272,40,0.12,Computadora,0,Sí,Sí
118,Otro,45,Reino Unido,Familiar,21,73,0.16,Web,0,Sí,No
119,Masculino,59,PK,Familiar,251,47,0.14,Móvil,0,Sí,No
120,Otro,49,PK,Familiar,95,81,0.36,Móvil,0,Sí,No
121,Masculino,59,IN,Estudiante,169,20,0.18,Computadora,0,Sí,Sí
122,Masculino,47,Alemania,Premium,35,20,0.32,Computadora,0,Sí,Sí
123,Masculino,21,EE.UU.,Gratis,32,34,0.52,Web,14,No,Sí
124,Femenino,28,Alemania,Gratis,55,67,0.53,Computadora,7,No,No
125,Femenino,47,EE.UU.,Familiar,120,26,0.48,Computadora,0,Sí,No
126,Femenino,46,IN,Gratis,11,67,0.4,Computadora,36,No,Sí
127,Femenino,20,EE.UU.,Premium,194,52,0.2,Móvil,0,Sí,No
128,Femenino,34,PK,Premium,81,85,0.29,Web,0,Sí,No
129,Otro,24,Alemania,Gratis,217,52,0.45,Web,23,No,No
130,Masculino,40,EE.UU.,Premium,11,11,0.42,Web,0,Sí,Sí
131,Masculino,48,Reino Unido,Gratis,72,35,0.53,Computadora,22,No,No
132,Otro,47,PK,Premium,162,94,0.29,Computadora,0,Sí,No
133,Femenino,33,IN,Familiar,271,57,0.36,Móvil,0,Sí,Sí
134,Masculino,20,EE.UU.,Premium,218,6,0.02,Computadora,0,Sí,Sí
135,Otro,55,Alemania,Familiar,94,24,0.3,Web,0,Sí,No
136,Masculino,58,Canadá,Estudiante,295,72,0.43,Computadora,0,Sí,No
137,Otro,41,EE.UU.,Premium,286,35,0.42,Computadora,0,Sí,No
138,Otro,53,EE.UU.,Estudiante,298,37,0.5,Móvil,0,Sí,No
139,Femenino,50,Canadá,Familiar,261,20,0.39,Computadora,0,Sí,Sí
140,Otro,55,EE.UU.,Gratis,201,82,0.5,Computadora,27,No,Sí
141,Femenino,56,EE.UU.,Gratis,40,84,0.56,Web,49,No,No
142,Otro,18,Australia,Premium,30,78,0.42,Móvil,0,Sí,No
143,Masculino,29,Canadá,Estudiante,109,88,0.45,Web,0,Sí,Sí
144,Femenino,28,Reino Unido,Premium,171,19,0.48,Móvil,0,Sí,Sí
145,Masculino,24,PK,Familiar,223,31,0.09,Móvil,0,Sí,No
146,Otro,44,Australia,Familiar,52,17,0.2,Computadora,0,Sí,No
147,Otro,18,IN,Familiar,195,94,0.49,Computadora,0,Sí,No
148,Otro,40,PK,Premium,198,78,0.0,Computadora,0,Sí,No
149,Otro,22,Alemania,Estudiante,285,2,0.3,Computadora,0,Sí,No
150,Masculino,34,Francia,Premium,278,83,0.24,Computadora,0,Sí,No
151,Masculino,44,Australia,Premium,251,57,0.37,Computadora,0,Sí,No
152,Masculino,58,EE.UU.,Estudiante,158,52,0.27,Móvil,0,Sí,No
153,Femenino,41,PK,Familiar,14,41,0.59,Web,0,Sí,No
154,Femenino,52,Reino Unido,Premium,280,81,0.27,Computadora,0,Sí,Sí
155,Masculino,26,IN,Estudiante,257,14,0.13,Web,0,Sí,No
156,Otro,42,Canadá,Familiar,21,76,0.56,Web,0,Sí,Sí
157,Otro,27,PK,Gratis,237,27,0.16,Web,40,No,No
158,Otro,48,Alemania,Gratis,224,53,0.07,Móvil,43,No,No
159,Otro,24,Australia,Familiar,216,76,0.28,Móvil,0,Sí,No
160,Otro,34,Canadá,Premium,137,97,0.32,Web,0,Sí,No
161,Otro,28,Alemania,Gratis,209,84,0.53,Web,28,No,No
162,Femenino,17,Francia,Gratis,36,30,0.19,Móvil,43,No,Sí
163,Otro,50,PK,Gratis,95,50,0.49,Computadora,31,No,Sí
164,Femenino,35,Australia,Premium,298,25,0.11,Móvil,0,Sí,Sí
165,Masculino,20,Alemania,Familiar,224,51,0.23,Computadora,0,Sí,Sí
166,Femenino,50,PK,Gratis,205,43,0.48,Computadora,47,No,No
167,Masculino,23,Francia,Estudiante,95,31,0.37,Web,0,Sí,No
168,Otro,20,Reino Unido,Gratis,289,17,0.28,Computadora,35,No,No
169,Masculino,51,Canadá,Premium,168,28,0.54,Web,0,Sí,No
170,Femenino,18,PK,Gratis,211,48,0.48,Móvil,23,No,Sí
171,Masculino,29,Alemania,Premium,63,99,0.38,Móvil,0,Sí,No
172,Masculino,39,Alemania,Gratis,124,83,0.52,Móvil,35,No,No
173,Otro,51,Canadá,Familiar,275,56,0.05,Web,0,Sí,No
174,Masculino,24,PK,Estudiante,120,38,0.11,Móvil,0,Sí,No
175,Masculino,20,Alemania,Gratis,64,20,0.16,Móvil,20,No,Sí
176,Femenino,57,Reino Unido,Premium,121,86,0.08,Web,0,Sí,Sí
177,Otro,16,Australia,Gratis,184,12,0.2,Computadora,15,No,No
178,Masculino,18,PK,Familiar,219,54,0.06,Web,0,Sí,No
179,Masculino,16,Alemania,Gratis,184,40,0.01,Móvil,9,No,No
180,Femenino,50,Reino Unido,Familiar,30,37,0.25,Computadora,0,Sí,Sí
181,Masculino,23,Alemania,Gratis,55,46,0.41,Computadora,7,No,No
182,Femenino,53,Australia,Premium,38,4,0.09,Móvil,0,Sí,No
183,Masculino,58,Canadá,Premium,281,58,0.16,Computadora,0,Sí,No
184,Femenino,31,Alemania,Premium,140,57,0.35,Móvil,0,Sí,Sí
185,Femenino,19,EE.UU.,Estudiante,130,17,0.35,Computadora,0,Sí,No
186,Femenino,36,EE.UU.,Estudiante,238,82,0.35,Web,0,Sí,Sí
187,Otro,19,PK,Premium,295,53,0.55,Web,0,Sí,Sí
188,Otro,26,IN,Gratis,265,31,0.41,Web,38,No,No
189,Otro,16,EE.UU.,Estudiante,179,80,0.6,Computadora,0,Sí,No
190,Otro,49,Australia,Gratis,198,4,0.1,Computadora,36,No,No
191,Femenino,55,Reino Unido,Premium,180,17,0.08,Web,0,Sí,No
192,Otro,21,Alemania,Estudiante,267,89,0.52,Web,0,Sí,No
193,Otro,48,Canadá,Gratis,126,22,0.58,Móvil,45,No,No
194,Femenino,38,IN,Familiar,233,94,0.29,Web,0,Sí,Sí
195,Masculino,59,PK,Estudiante,161,95,0.59,Computadora,0,Sí,Sí
196,Femenino,31,Canadá,Estudiante,100,70,0.43,Móvil,0,Sí,No
197,Femenino,24,EE.UU.,Estudiante,240,45,0.53,Web,0,Sí,Sí
198,Masculino,55,Reino Unido,Estudiante,170,95,0.45,Móvil,0,Sí,No
199,Masculino,53,Reino Unido,Familiar,150,29,0.18,Computadora,0,Sí,No
200,Otro,31,EE.UU.,Familiar,203,79,0.15,Web,0,Sí,No
201,Femenino,49,Australia,Gratis,226,31,0.24,Computadora,32,No,No
202,Otro,49,Reino Unido,Premium,31,93,0.03,Computadora,0,Sí,No
203,Femenino,33,Alemania,Premium,81,34,0.09,Móvil,0,Sí,No
204,Otro,59,PK,Gratis,62,99,0.55,Móvil,5,No,No
205,Femenino,58,Australia,Gratis,202,22,0.45,Móvil,36,No,No
206,Otro,49,PK,Gratis,207,33,0.09,Web,9,No,Sí
207,Masculino,42,Alemania,Estudiante,20,38,0.6,Web,0,Sí,No
208,Otro,24,Australia,Gratis,113,42,0.56,Computadora,32,No,Sí
209,Masculino,33,IN,Gratis,168,42,0.12,Computadora,49,No,No
210,Otro,20,IN,Estudiante,251,79,0.37,Web,0,Sí,No
211,Otro,42,IN,Gratis,222,95,0.04,Computadora,29,No,No
212,Femenino,16,Alemania,Gratis,74,33,0.12,Móvil,13,No,No
213,Masculino,37,Canadá,Premium,139,71,0.16,Computadora,0,Sí,No
214,Femenino,26,Francia,Gratis,160,23,0.06,Web,45,No,No
215,Otro,46,EE.UU.,Premium,37,94,0.37,Web,0,Sí,No
216,Masculino,36,EE.UU.,Familiar,199,4,0.12,Computadora,0,Sí,No
217,Otro,32,Francia,Gratis,204,87,0.42,Computadora,14,No,No
218,Otro,18,IN,Familiar,181,67,0.56,Computadora,0,Sí,Sí
219,Otro,20,Alemania,Premium,269,4,0.31,Web,0,Sí,No
220,Femenino,19,IN,Gratis,245,9,0.07,Móvil,42,No,No
221,Otro,34,Canadá,Estudiante,50,54,0.59,Web,0,Sí,No
222,Otro,50,Alemania,Estudiante,272,46,0.12,Web,0,Sí,No
223,Otro,36,Francia,Familiar,271,26,0.5,Web,0,Sí,No
224,Otro,53,Alemania,Estudiante,252,68,0.04,Web,0,Sí,Sí
225,Femenino,31,PK,Estudiante,155,2,0.36,Computadora,0,Sí,Sí
226,Femenino,40,Francia,Gratis,66,80,0.02,Móvil,48,No,Sí
227,Femenino,41,Canadá,Estudiante,51,26,0.19,Web,0,Sí,No
228,Masculino,27,Reino Unido,Gratis,174,6,0.54,Móvil,7,No,No
229,Otro,52,Alemania,Estudiante,165,20,0.01,Computadora,0,Sí,Sí
230,Otro,49,Australia,Premium,73,39,0.11,Móvil,0,Sí,No
231,Masculino,51,Alemania,Estudiante,10,11,0.09,Web,0,Sí,No
232,Femenino,19,Francia,Premium,279,26,0.03,Web,0,Sí,No
233,Masculino,41,Reino Unido,Gratis,222,4,0.06,Móvil,26,No,Sí
234,Masculino,49,Alemania,Premium,39,6,0.54,Web,0,Sí,No
235,Masculino,17,Francia,Premium,40,97,0.08,Móvil,0,Sí,Sí
236,Femenino,22,Reino Unido,Premium,254,86,0.45,Computadora,0,Sí,Sí
237,Masculino,31,Reino Unido,Familiar,227,23,0.55,Móvil,0,Sí,Sí
238,Femenino,19,Francia,Premium,244,5,0.34,Web,0,Sí,No
239,Femenino,37,Canadá,Gratis,113,85,0.23,Móvil,27,No,Sí
240,Femenino,43,Reino Unido,Gratis,218,6,0.01,Móvil,15,No,Sí
241,Masculino,29,Reino Unido,Gratis,144,94,0.33,Computadora,19,No,No
242,Femenino,51,Canadá,Premium,143,48,0.09,Web,0,Sí,No
243,Masculino,41,Canadá,Premium,110,61,0.44,Móvil,0,Sí,No
244,Otro,24,Francia,Familiar,283,90,0.53,Web,0,Sí,No
245,Otro,19,PK,Premium,276,15,0.28,Móvil,0,Sí,No
246,Masculino,48,IN,Premium,178,70,0.29,Computadora,0,Sí,No
247,Otro,37,EE.UU.,Premium,114,13,0.49,Computadora,0,Sí,No
248,Femenino,59,EE.UU.,Gratis,98,24,0.32,Móvil,8,No,No
249,Femenino,54,IN,Familiar,49,27,0.29,Móvil,0,Sí,No
250,Femenino,36,Australia,Premium,28,39,0.27,Web,0,Sí,No
251,Otro,58,Francia,Premium,259,67,0.17,Móvil,0,Sí,No
252,Otro,20,Canadá,Gratis,279,84,0.43,Computadora,24,No,No
253,Otro,18,Australia,Premium,139,58,0.09,Web,0,Sí,Sí
254,Femenino,35,Alemania,Gratis,53,97,0.45,Computadora,29,No,No
255,Masculino,57,Reino Unido,Familiar,255,82,0.19,Móvil,0,Sí,No
256,Otro,55,Canadá,Premium,259,20,0.01,Móvil,0,Sí,No
257,Otro,53,PK,Gratis,112,33,0.34,Móvil,30,No,No
258,Otro,22,EE.UU.,Premium,260,75,0.36,Web,0,Sí,No
259,Otro,51,IN,Premium,91,3,0.49,Computadora,0,Sí,No
260,Femenino,43,PK,Gratis,92,18,0.19,Móvil,25,No,No
261,Otro,37,Australia,Gratis,140,14,0.02,Móvil,31,No,No
262,Masculino,29,EE.UU.,Premium,259,28,0.19,Computadora,0,Sí,Sí
263,Masculino,17,Reino Unido,Estudiante,119,73,0.22,Computadora,0,Sí,No
264,Masculino,36,IN,Estudiante,99,92,0.54,Web,0,Sí,Sí
265,Masculino,53,Australia,Gratis,265,49,0.2,Computadora,41,No,Sí
266,Femenino,54,IN,Premium,299,93,0.27,Móvil,0,Sí,Sí
267,Femenino,59,Australia,Gratis,255,75,0.56,Web,38,No,No
268,Otro,42,Alemania,Familiar,157,96,0.48,Web,0,Sí,Sí
269,Otro,36,Australia,Familiar,176,15,0.11,Móvil,0,Sí,No
270,Femenino,22,Australia,Estudiante,146,45,0.44,Móvil,0,Sí,No
271,Masculino,19,Alemania,Familiar,211,64,0.15,Móvil,0,Sí,No
272,Masculino,47,IN,Premium,191,42,0.52,Móvil,0,Sí,Sí
273,Masculino,29,Canadá,Premium,218,72,0.29,Móvil,0,Sí,No
274,Otro,32,Canadá,Familiar,128,94,0.48,Web,0,Sí,No
275,Otro,47,EE.UU.,Gratis,30,10,0.38,Web,37,No,No
276,Masculino,30,Alemania,Familiar,176,17,0.35,Móvil,0,Sí,No
277,Masculino,23,Reino Unido,Premium,50,45,0.08,Móvil,0,Sí,No
278,Otro,37,Francia,Gratis,267,72,0.12,Computadora,38,No,No
279,Otro,17,PK,Estudiante,20,84,0.45,Web,0,Sí,No
280,Femenino,45,EE.UU.,Familiar,134,92,0.31,Móvil,0,Sí,No
281,Femenino,42,Australia,Estudiante,282,57,0.31,Móvil,0,Sí,No
282,Masculino,42,EE.UU.,Premium,52,55,0.05,Web,0,Sí,Sí
283,Otro,31,Australia,Premium,97,37,0.59,Web,0,Sí,No
284,Femenino,53,IN,Gratis,58,63,0.45,Móvil,45,No,No
285,Otro,47,Australia,Premium,126,71,0.29,Computadora,0,Sí,Sí
286,Femenino,40,Francia,Premium,172,48,0.54,Web,0,Sí,No
287,Femenino,35,PK,Gratis,258,36,0.2,Computadora,24,No,Sí
288,Femenino,33,IN,Gratis,291,31,0.29,Computadora,39,No,No
289,Otro,44,Alemania,Gratis,27,96,0.04,Computadora,27,No,Sí
290,Otro,41,Reino Unido,Familiar,262,32,0.47,Computadora,0,Sí,No
291,Masculino,32,Alemania,Premium,52,52,0.47,Computadora,0,Sí,Sí
292,Otro,20,Canadá,Estudiante,108,26,0.17,Web,0,Sí,No
293,Masculino,51,EE.UU.,Premium,235,5,0.28,Computadora,0,Sí,No
294,Femenino,25,EE.UU.,Estudiante,213,36,0.28,Web,0,Sí,No
295,Otro,32,PK,Premium,169,6,0.13,Web,0,Sí,Sí
296,Femenino,34,Alemania,Estudiante,158,84,0.1,Móvil,0,Sí,Sí
297,Masculino,34,Alemania,Premium,293,30,0.16,Computadora,0,Sí,No
298,Masculino,45,Alemania,Premium,99,84,0.58,Web,0,Sí,Sí
299,Femenino,45,EE.UU.,Estudiante,194,40,0.59,Computadora,0,Sí,No
300,Otro,50,EE.UU.,Premium,126,86,0.52,Móvil,0,Sí,No
301,Femenino,45,Reino Unido,Familiar,102,18,0.08,Móvil,0,Sí,No
302,Femenino,55,PK,Gratis,210,32,0.15,Web,29,No,Sí
303,Femenino,32,EE.UU.,Gratis,134,71,0.43,Móvil,14,No,No
304,Masculino,48,Reino Unido,Premium,62,25,0.53,Web,0,Sí,No
305,Otro,36,EE.UU.,Premium,183,29,0.53,Web,0,Sí,No
306,Otro,39,Alemania,Premium,279,97,0.36,Móvil,0,Sí,No
307,Otro,59,Canadá,Premium,159,48,0.21,Móvil,0,Sí,Sí
308,Masculino,23,EE.UU.,Premium,187,22,0.14,Computadora,0,Sí,Sí
309,Otro,41,Reino Unido,Familiar,57,3,0.41,Móvil,0,Sí,No
310,Femenino,31,Francia,Familiar,133,88,0.07,Computadora,0,Sí,No
311,Masculino,48,IN,Estudiante,168,78,0.41,Computadora,0,Sí,No
312,Femenino,21,Australia,Familiar,251,47,0.55,Móvil,0,Sí,No
313,Otro,18,Australia,Familiar,71,18,0.0,Web,0,Sí,No
314,Femenino,25,Francia,Estudiante,178,84,0.32,Computadora,0,Sí,No
315,Masculino,56,IN,Estudiante,206,64,0.1,Móvil,0,Sí,Sí
316,Masculino,34,Francia,Gratis,36,12,0.22,Móvil,44,No,No
317,Otro,25,Canadá,Familiar,122,69,0.09,Web,0,Sí,No
318,Masculino,24,PK,Premium,158,51,0.26,Web,0,Sí,No
319,Otro,41,Francia,Estudiante,223,79,0.05,Móvil,0,Sí,No
320,Masculino,38,IN,Estudiante,251,65,0.44,Computadora,0,Sí,No
321,Otro,19,EE.UU.,Familiar,294,5,0.44,Web,0,Sí,No
322,Otro,25,IN,Estudiante,12,2,0.34,Web,0,Sí,Sí
323,Masculino,55,IN,Familiar,218,58,0.36,Computadora,0,Sí,No
324,Masculino,17,Reino Unido,Gratis,49,26,0.54,Computadora,12,No,No
325,Femenino,50,Francia,Estudiante,66,13,0.58,Móvil,0,Sí,Sí
326,Otro,39,Alemania,Gratis,295,20,0.09,Móvil,21,No,Sí
327,Masculino,26,Australia,Estudiante,131,98,0.24,Computadora,0,Sí,No
328,Otro,34,Reino Unido,Gratis,203,10,0.1,Computadora,42,No,No
329,Femenino,32,Canadá,Premium,201,38,0.44,Web,0,Sí,No
330,Femenino,40,Canadá,Estudiante,59,35,0.37,Computadora,0,Sí,No
331,Masculino,32,EE.UU.,Familiar,119,39,0.45,Web,0,Sí,No
332,Femenino,51,Canadá,Premium,219,96,0.51,Web,0,Sí,Sí
333,Masculino,46,Canadá,Familiar,152,83,0.58,Móvil,0,Sí,No
334,Femenino,51,Canadá,Premium,157,9,0.57,Web,0,Sí,No
335,Femenino,38,Canadá,Gratis,89,59,0.15,Móvil,21,No,No
336,Femenino,54,Francia,Familiar,63,68,0.21,Móvil,0,Sí,No
337,Masculino,59,Reino Unido,Premium,93,36,0.39,Computadora,0,Sí,No
338,Otro,41,Australia,Estudiante,97,78,0.02,Web,0,Sí,No
339,Otro,34,IN,Premium,289,79,0.09,Computadora,0,Sí,No
340,Femenino,55,IN,Familiar,291,39,0.3,Móvil,0,Sí,Sí
341,Femenino,34,Reino Unido,Familiar,291,70,0.22,Computadora,0,Sí,No
342,Femenino,20,Reino Unido,Estudiante,218,76,0.58,Web,0,Sí,Sí
343,Femenino,20,Canadá,Premium,56,55,0.18,Web,0,Sí,No
344,Masculino,32,IN,Estudiante,157,12,0.48,Web,0,Sí,Sí
345,Femenino,37,Alemania,Estudiante,171,65,0.52,Web,0,Sí,Sí
346,Otro,50,Canadá,Familiar,16,64,0.05,Web,0,Sí,No
347,Femenino,21,Alemania,Familiar,207,21,0.18,Web,0,Sí,Sí
348,Masculino,48,EE.UU.,Premium,123,37,0.27,Web,0,Sí,No
349,Masculino,46,IN,Premium,55,48,0.47,Web,0,Sí,Sí
350,Otro,44,Australia,Gratis,49,43,0.25,Computadora,5,No,No
351,Femenino,55,PK,Gratis,62,57,0.58,Web,7,No,No
352,Femenino,57,Australia,Estudiante,85,32,0.0,Computadora,0,Sí,No
353,Otro,41,Canadá,Familiar,78,33,0.04,Computadora,0,Sí,No
354,Masculino,50,Canadá,Gratis,107,7,0.42,Computadora,27,No,Sí
355,Otro,32,Francia,Gratis,202,29,0.14,Web,41,No,No
356,Masculino,51,PK,Familiar,211,25,0.51,Móvil,0,Sí,No
