"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"femenino","group D","some high school","free/reduced","none","47","46","49"
"masculino","group B","high school","standard","none","79","64","60"
"femenino","group C","high school","standard","none","60","64","57"
"femenino","group C","associate's degree","standard","completed","56","68","73"
"masculino","group C","associate's degree","standard","none","57","52","47"
"femenino","group B","some college","standard","none","49","70","63"
"femenino","group C","some high school","standard","completed","79","76","81"
"masculino","group B","master's degree","free/reduced","none","71","76","67"
"femenino","group C","high school","standard","none","71","77","70"
"femenino","group C","some college","standard","none","47","63","59"
"femenino","group D","high school","free/reduced","none","72","91","81"
"masculino","group C","associate's degree","standard","none","78","73","76"
"masculino","group D","some high school","standard","none","54","43","45"
"femenino","group B","bachelor's degree","standard","none","46","59","62"
"femenino","group D","some high school","free/reduced","none","31","38","42"
"femenino","group C","associate's degree","free/reduced","none","51","59","59"
"masculino","group B","high school","standard","completed","78","76","73"
"femenino","group B","associate's degree","free/reduced","none","32","41","39"
"femenino","group C","some high school","standard","none","53","71","69"
"femenino","group C","some college","free/reduced","none","63","76","69"
"masculino","group D","some college","standard","none","97","93","88"
"femenino","group D","some college","standard","none","56","52","61"
"masculino","group B","high school","standard","none","72","76","72"
"masculino","group C","some college","free/reduced","none","57","47","42"
"masculino","group B","some high school","standard","none","74","71","70"
"femenino","group D","master's degree","standard","none","81","81","87"
"masculino","group D","bachelor's degree","standard","completed","94","87","93"
"masculino","group B","master's degree","free/reduced","none","81","73","72"
"femenino","group C","high school","standard","completed","58","63","67"
"femenino","group E","associate's degree","standard","completed","95","100","100"
"masculino","group B","high school","free/reduced","none","45","52","49"
"masculino","group A","some college","standard","none","63","50","49"
"masculino","group B","associate's degree","standard","none","60","54","53"
"masculino","group C","some college","free/reduced","completed","54","61","62"
"masculino","group C","some college","standard","completed","75","78","79"
"masculino","group E","high school","standard","none","79","78","77"
"masculino","group D","high school","standard","none","66","67","67"
"femenino","group B","some college","standard","none","47","58","58"
"femenino","group D","bachelor's degree","standard","none","70","78","82"
"masculino","group D","high school","standard","none","82","74","73"
"masculino","group A","bachelor's degree","standard","none","56","38","44"
"masculino","group B","associate's degree","standard","none","92","78","71"
"masculino","group C","some college","free/reduced","none","30","33","33"
"femenino","group C","some college","standard","completed","79","88","86"
"femenino","group D","some high school","standard","none","41","52","47"
"femenino","group C","master's degree","standard","none","63","82","71"
"masculino","group A","bachelor's degree","free/reduced","none","43","34","33"
"masculino","group D","high school","standard","none","77","76","74"
"masculino","group B","associate's degree","standard","completed","76","79","76"
"femenino","group E","some college","free/reduced","none","49","61","63"
"masculino","group C","associate's degree","standard","completed","59","57","55"
"masculino","group B","bachelor's degree","free/reduced","none","59","70","58"
"femenino","group D","some high school","standard","completed","76","90","87"
"femenino","group C","high school","standard","completed","55","71","71"
"femenino","group D","bachelor's degree","standard","completed","78","87","89"
"femenino","group C","bachelor's degree","standard","completed","51","53","62"
"femenino","group C","some high school","standard","completed","41","43","45"
"femenino","group D","associate's degree","standard","none","74","78","86"
"masculino","group C","master's degree","standard","none","62","54","58"
"masculino","group D","associate's degree","standard","none","77","71","64"
"masculino","group C","some high school","standard","none","45","52","45"
"masculino","group E","some college","standard","completed","100","84","87"
"femenino","group D","associate's degree","free/reduced","completed","83","95","100"
"femenino","group E","associate's degree","free/reduced","completed","77","75","82"
"masculino","group C","high school","standard","completed","66","70","64"
"masculino","group B","some college","standard","none","65","63","57"
"masculino","group D","associate's degree","standard","none","62","55","56"
"masculino","group E","some college","standard","none","55","54","54"
"masculino","group C","some high school","free/reduced","none","73","78","69"
"masculino","group A","some college","standard","completed","73","81","76"
"femenino","group B","associate's degree","standard","completed","48","66","68"
"masculino","group D","some college","free/reduced","none","52","44","49"
"femenino","group C","some high school","free/reduced","none","60","72","64"
"masculino","group B","associate's degree","free/reduced","none","68","63","57"
"femenino","group D","some college","free/reduced","none","65","77","83"
"femenino","group D","bachelor's degree","standard","none","86","83","87"
"femenino","group B","associate's degree","standard","none","55","62","60"
"masculino","group B","master's degree","standard","completed","80","71","68"
"femenino","group B","high school","free/reduced","none","51","57","57"
"femenino","group B","some high school","standard","completed","63","61","66"
"masculino","group E","some college","standard","none","60","55","46"
"femenino","group E","bachelor's degree","standard","completed","100","100","100"
"masculino","group A","associate's degree","free/reduced","none","46","44","44"
"femenino","group C","some college","standard","completed","67","78","80"
"femenino","group C","high school","free/reduced","none","54","67","59"
"femenino","group B","associate's degree","standard","none","63","79","76"
"masculino","group D","bachelor's degree","standard","none","68","66","73"
"femenino","group C","associate's degree","free/reduced","none","54","63","58"
"femenino","group C","some college","standard","none","43","44","47"
"masculino","group B","high school","free/reduced","none","64","64","59"
"femenino","group E","associate's degree","free/reduced","none","92","87","87"
"femenino","group D","associate's degree","free/reduced","none","82","95","93"
"masculino","group E","some high school","free/reduced","none","84","78","79"
"femenino","group D","associate's degree","standard","completed","84","98","97"
"masculino","group D","associate's degree","free/reduced","none","65","63","65"
"femenino","group C","bachelor's degree","standard","none","83","92","91"
"femenino","group B","some high school","standard","completed","70","75","75"
"masculino","group A","bachelor's degree","standard","completed","66","72","70"
"femenino","group D","bachelor's degree","standard","completed","71","87","92"
"masculino","group B","bachelor's degree","standard","none","66","64","58"
"femenino","group B","some high school","standard","completed","57","64","68"
"femenino","group C","master's degree","standard","none","86","90","93"
"femenino","group A","high school","standard","none","80","85","83"
"femenino","group B","high school","standard","none","62","60","59"
"femenino","group D","some college","standard","none","71","71","76"
"femenino","group C","some college","free/reduced","completed","57","66","71"
"masculino","group A","some high school","free/reduced","completed","69","64","62"
"masculino","group B","some college","standard","completed","83","74","72"
"femenino","group D","some college","free/reduced","none","50","56","60"
"femenino","group C","bachelor's degree","standard","none","55","56","56"
"masculino","group B","some high school","free/reduced","none","55","53","51"
"femenino","group D","some college","free/reduced","completed","83","93","95"
"masculino","group D","high school","standard","completed","89","87","86"
"femenino","group D","some high school","standard","none","51","62","64"
"femenino","group C","some college","standard","none","48","52","49"
"femenino","group E","bachelor's degree","standard","none","84","95","89"
"femenino","group C","associate's degree","standard","none","69","83","76"
"femenino","group C","associate's degree","standard","completed","75","85","87"
"femenino","group C","master's degree","standard","none","91","100","99"
"masculino","group B","high school","standard","none","76","77","67"
"masculino","group E","some high school","free/reduced","none","63","61","59"
"masculino","group D","high school","standard","none","73","65","64"
"masculino","group B","some high school","free/reduced","completed","52","63","53"
"masculino","group B","some high school","standard","completed","58","57","53"
"femenino","group B","some high school","standard","none","33","51","51"
"masculino","group E","some high school","free/reduced","none","68","62","61"
"femenino","group C","associate's degree","standard","completed","77","91","89"
"femenino","group C","bachelor's degree","standard","none","64","64","66"
"femenino","group D","some high school","free/reduced","none","39","49","48"
"masculino","group D","bachelor's degree","standard","none","50","46","48"
"masculino","group A","master's degree","free/reduced","none","53","57","51"
"femenino","group B","associate's degree","standard","completed","54","62","70"
"masculino","group D","high school","standard","none","74","63","65"
"femenino","group D","associate's degree","standard","completed","50","63","65"
"masculino","group E","associate's degree","standard","none","55","54","47"
"masculino","group C","some college","standard","none","77","64","70"
"femenino","group B","some high school","standard","completed","49","64","67"
"femenino","group D","associate's degree","free/reduced","none","66","83","82"
"masculino","group B","some high school","standard","completed","77","74","75"
"femenino","group A","master's degree","standard","completed","74","78","84"
"masculino","group C","some college","standard","none","85","78","81"
"femenino","group A","some college","standard","none","77","86","84"
"femenino","group B","associate's degree","standard","none","64","62","66"
"femenino","group D","high school","free/reduced","completed","61","69","68"
"masculino","group D","associate's degree","standard","none","97","88","85"
"masculino","group C","some college","standard","completed","66","75","70"
"masculino","group C","some high school","standard","none","62","66","64"
"femenino","group E","some high school","standard","completed","64","80","77"
"femenino","group B","bachelor's degree","free/reduced","none","55","57","60"
"femenino","group B","associate's degree","standard","none","53","72","66"
"femenino","group D","some college","free/reduced","none","71","81","77"
"masculino","group B","high school","free/reduced","completed","66","59","68"
"masculino","group C","associate's degree","standard","none","68","61","62"
"masculino","group D","some college","standard","none","89","90","83"
"masculino","group C","associate's degree","standard","completed","65","69","74"
"femenino","group B","some high school","standard","none","43","48","44"
"femenino","group D","master's degree","standard","none","79","77","83"
"masculino","group D","bachelor's degree","standard","none","99","94","97"
"masculino","group D","some high school","standard","none","82","69","72"
"masculino","group D","some college","free/reduced","completed","35","36","39"
"femenino","group D","bachelor's degree","free/reduced","none","61","71","73"
"femenino","group D","high school","standard","none","76","80","81"
"masculino","group C","associate's degree","free/reduced","completed","94","83","82"
"femenino","group C","high school","standard","none","75","90","78"
"masculino","group B","some college","standard","none","81","75","70"
"masculino","group C","some college","free/reduced","none","35","44","33"
"masculino","group C","some college","standard","none","76","74","72"
"femenino","group B","bachelor's degree","standard","none","58","79","82"
"masculino","group C","associate's degree","standard","completed","100","91","90"
"femenino","group C","bachelor's degree","standard","none","53","68","64"
"femenino","group D","high school","standard","none","82","95","96"
"masculino","group B","associate's degree","standard","none","76","62","64"
"masculino","group C","bachelor's degree","standard","completed","83","75","75"
"femenino","group D","some college","standard","none","72","84","82"
"masculino","group D","associate's degree","standard","completed","76","76","83"
"masculino","group D","some high school","standard","none","66","64","58"
"masculino","group C","some college","standard","none","63","65","63"
"masculino","group B","some high school","standard","none","36","34","28"
"masculino","group C","high school","standard","none","68","74","71"
"femenino","group C","some high school","free/reduced","completed","40","52","42"
"masculino","group D","some high school","standard","none","68","71","61"
"masculino","group C","associate's degree","standard","completed","56","54","52"
"femenino","group D","associate's degree","free/reduced","none","74","83","80"
"femenino","group D","some college","free/reduced","none","53","70","71"
"masculino","group B","some high school","standard","none","88","65","70"
"masculino","group D","some high school","standard","none","67","63","61"
"femenino","group B","associate's degree","standard","none","60","76","65"
"femenino","group C","high school","free/reduced","none","51","61","54"
"femenino","group D","some high school","standard","none","53","66","59"
"masculino","group A","bachelor's degree","standard","none","80","78","74"
"femenino","group E","some high school","standard","none","69","71","67"
"femenino","group B","some high school","free/reduced","none","64","79","70"
"femenino","group D","associate's degree","free/reduced","completed","80","87","89"
"femenino","group A","some high school","standard","none","58","72","62"
"femenino","group C","high school","standard","none","39","46","50"
"masculino","group D","some high school","standard","none","64","56","50"
"masculino","group D","associate's degree","standard","none","61","66","63"
"masculino","group D","some high school","standard","completed","90","82","88"
"masculino","group D","some high school","standard","none","73","71","64"
"masculino","group C","associate's degree","standard","none","73","73","70"
"femenino","group D","associate's degree","standard","none","67","76","77"
"femenino","group B","some college","standard","none","57","58","62"
"femenino","group E","some college","standard","none","65","73","72"
"femenino","group C","some high school","standard","none","71","72","71"
"femenino","group D","some high school","standard","none","59","69","72"
"masculino","group B","high school","standard","completed","74","71","65"
"femenino","group E","high school","standard","none","93","100","93"
"femenino","group B","some high school","standard","completed","85","93","92"
"femenino","group E","some high school","standard","none","76","83","79"
"femenino","group D","high school","free/reduced","none","58","72","70"
"femenino","group E","associate's degree","standard","none","72","77","77"
"femenino","group B","high school","standard","none","40","49","47"
"masculino","group D","high school","standard","completed","75","73","66"
"masculino","group D","some high school","standard","none","85","81","80"
"masculino","group E","associate's degree","standard","completed","100","100","100"
"femenino","group B","some college","free/reduced","completed","53","65","66"
"masculino","group D","some college","free/reduced","none","40","42","39"
"masculino","group B","bachelor's degree","free/reduced","none","49","49","49"
"masculino","group C","associate's degree","standard","none","77","80","80"
"femenino","group D","high school","standard","none","82","89","84"
"masculino","group C","some college","standard","none","55","48","42"
"femenino","group C","some high school","free/reduced","none","62","71","77"
"masculino","group B","high school","standard","completed","69","63","59"
"masculino","group C","associate's degree","standard","none","78","74","76"
"femenino","group B","high school","free/reduced","completed","71","77","82"
"masculino","group D","some college","free/reduced","completed","59","71","66"
"femenino","group D","high school","free/reduced","none","60","75","70"
"femenino","group C","bachelor's degree","free/reduced","completed","43","60","60"
"femenino","group C","some high school","standard","none","77","83","86"
"masculino","group D","some high school","free/reduced","none","50","47","46"
"femenino","group E","bachelor's degree","free/reduced","none","56","58","52"
"masculino","group B","high school","standard","none","69","58","50"
"masculino","group D","high school","standard","none","47","43","39"
"masculino","group B","some college","free/reduced","none","43","28","24"
"masculino","group A","some high school","free/reduced","none","48","39","40"
"masculino","group C","high school","free/reduced","none","55","62","49"
"masculino","group C","some college","standard","none","73","68","66"
"masculino","group D","bachelor's degree","standard","none","71","63","66"
"femenino","group B","some college","standard","none","54","57","60"
"masculino","group C","high school","standard","none","66","61","63"
"masculino","group A","master's degree","standard","none","63","63","67"
"femenino","group D","bachelor's degree","standard","none","66","81","73"
"masculino","group C","bachelor's degree","standard","completed","79","80","75"
"masculino","group D","associate's degree","free/reduced","completed","73","69","70"
"femenino","group C","some high school","standard","none","36","57","53"
"masculino","group C","associate's degree","free/reduced","none","50","48","43"
"masculino","group E","some college","standard","completed","87","78","80"
"masculino","group C","associate's degree","standard","none","71","68","63"
"femenino","group C","associate's degree","standard","completed","85","87","94"
"femenino","group C","high school","standard","completed","58","67","64"
"masculino","group C","some college","standard","none","86","83","81"
"femenino","group D","some high school","free/reduced","none","64","86","89"
"masculino","group D","some college","standard","none","83","85","79"
"masculino","group E","high school","free/reduced","completed","58","56","49"
"femenino","group C","some college","free/reduced","completed","59","83","81"
"femenino","group C","high school","standard","none","40","58","54"
"masculino","group D","associate's degree","standard","completed","82","83","85"
"masculino","group E","some high school","standard","none","87","84","80"
"femenino","group C","some high school","standard","none","62","65","64"
"masculino","group B","associate's degree","free/reduced","completed","76","80","78"
"femenino","group A","high school","standard","none","63","69","60"
"masculino","group D","some college","free/reduced","completed","58","60","59"
"masculino","group D","associate's degree","standard","completed","61","63","65"
"masculino","group C","some college","standard","none","78","69","71"
"femenino","group C","bachelor's degree","free/reduced","completed","78","90","81"
"masculino","group C","some college","standard","none","56","54","43"
"masculino","group D","some high school","standard","none","96","83","82"
"masculino","group C","high school","standard","none","48","43","40"
"masculino","group C","associate's degree","standard","completed","70","76","72"
"masculino","group D","some college","free/reduced","none","43","68","58"
"femenino","group E","high school","free/reduced","none","45","46","49"
"femenino","group C","associate's degree","standard","none","58","68","62"
"femenino","group A","high school","standard","completed","70","73","80"
"femenino","group E","some high school","standard","none","60","61","58"
"masculino","group C","some high school","free/reduced","none","52","53","47"
"masculino","group C","associate's degree","free/reduced","none","61","62","54"
"femenino","group D","some high school","standard","none","55","70","61"
"masculino","group B","high school","standard","completed","80","80","79"
"masculino","group D","some college","free/reduced","none","63","60","54"
"femenino","group B","master's degree","standard","none","79","79","87"
"masculino","group A","associate's degree","standard","none","74","78","72"
"femenino","group B","some college","free/reduced","completed","46","58","64"
"femenino","group B","some high school","standard","completed","72","88","92"
"femenino","group E","some high school","free/reduced","none","58","64","64"
"femenino","group E","master's degree","standard","none","47","50","47"
"femenino","group D","bachelor's degree","standard","completed","68","78","84"
"masculino","group D","bachelor's degree","free/reduced","completed","68","71","67"
"femenino","group D","high school","standard","none","65","75","68"
"femenino","group B","associate's degree","standard","none","50","54","51"
"femenino","group B","high school","free/reduced","completed","48","71","68"
"femenino","group B","bachelor's degree","standard","none","58","60","64"
"masculino","group C","some high school","free/reduced","completed","71","74","68"
"masculino","group D","some high school","free/reduced","completed","58","52","48"
"femenino","group A","some college","free/reduced","none","66","90","83"
"masculino","group C","some college","free/reduced","none","44","53","43"
"femenino","group B","some high school","standard","completed","51","63","66"
"masculino","group A","some college","standard","completed","78","83","77"
"masculino","group C","high school","standard","none","72","71","65"
"femenino","group D","associate's degree","standard","none","60","64","67"
"femenino","group C","associate's degree","free/reduced","none","55","61","60"
"masculino","group B","some high school","standard","none","64","67","64"
"femenino","group C","some high school","free/reduced","none","57","64","60"
"femenino","group A","high school","standard","none","70","75","74"
"masculino","group D","some high school","standard","completed","84","72","76"
"femenino","group B","some college","standard","completed","66","71","76"
"femenino","group C","bachelor's degree","free/reduced","completed","56","65","73"
"masculino","group E","some college","free/reduced","completed","59","53","56"
"femenino","group E","bachelor's degree","standard","none","87","89","84"
"masculino","group E","high school","free/reduced","none","73","75","64"
"femenino","group A","high school","standard","none","85","91","89"
"masculino","group B","some college","free/reduced","none","49","54","42"
"femenino","group C","bachelor's degree","standard","completed","82","87","90"
"femenino","group D","some college","standard","none","80","90","90"
"femenino","group E","high school","standard","none","48","51","43"
"femenino","group D","high school","standard","completed","85","83","94"
"femenino","group E","some high school","standard","completed","70","78","76"
"masculino","group E","associate's degree","standard","completed","89","84","81"
"femenino","group D","high school","standard","completed","72","86","79"
"femenino","group D","some high school","free/reduced","none","80","86","87"
"femenino","group D","some high school","free/reduced","none","43","57","50"
"masculino","group C","some high school","free/reduced","completed","54","61","61"
"masculino","group A","associate's degree","free/reduced","completed","82","82","78"
"masculino","group C","bachelor's degree","free/reduced","none","74","80","78"
"femenino","group C","some college","standard","none","63","62","64"
"femenino","group C","high school","free/reduced","none","47","56","51"
"femenino","group C","some college","free/reduced","none","13","29","23"
"masculino","group D","some college","free/reduced","none","67","58","56"
"masculino","group C","some high school","standard","none","57","59","54"
"femenino","group B","some high school","standard","none","64","78","83"
"femenino","group D","associate's degree","standard","none","85","100","100"
"femenino","group B","associate's degree","standard","completed","70","80","86"
"masculino","group B","bachelor's degree","standard","completed","90","73","83"
"femenino","group A","some college","free/reduced","completed","53","70","69"
"masculino","group C","some college","standard","completed","74","73","75"
"masculino","group A","associate's degree","standard","completed","61","71","67"
"femenino","group C","some high school","standard","completed","55","74","73"
"femenino","group B","some college","standard","completed","65","63","66"
"femenino","group A","high school","standard","none","77","77","79"
"masculino","group C","associate's degree","standard","none","74","61","56"
"masculino","group D","some college","standard","none","94","92","85"
"femenino","group B","associate's degree","standard","completed","54","64","68"
"masculino","group A","high school","standard","none","52","49","43"
"masculino","group D","some college","standard","none","73","75","71"
"masculino","group C","high school","standard","none","81","72","58"
"femenino","group B","bachelor's degree","free/reduced","none","62","75","72"
"femenino","group C","master's degree","free/reduced","none","55","60","61"
"masculino","group C","some high school","free/reduced","completed","55","61","61"
"femenino","group D","some high school","standard","none","61","62","61"
"masculino","group E","high school","standard","none","75","70","64"
"masculino","group E","some college","free/reduced","none","79","65","59"
"femenino","group C","some high school","standard","none","70","70","68"
"masculino","group A","some college","standard","none","72","65","59"
"femenino","group C","some high school","free/reduced","none","38","46","33"
"femenino","group A","bachelor's degree","standard","none","57","71","63"
"masculino","group D","some high school","standard","none","76","71","70"
"masculino","group C","some college","free/reduced","none","45","45","38"
"masculino","group D","associate's degree","standard","none","77","73","74"
"masculino","group C","high school","standard","none","40","39","30"
"femenino","group E","some college","standard","none","78","83","78"
"femenino","group A","master's degree","free/reduced","none","63","65","66"
"masculino","group C","associate's degree","standard","none","83","70","73"
"masculino","group C","associate's degree","free/reduced","none","55","52","47"
"masculino","group B","some college","standard","completed","88","78","76"
"masculino","group C","bachelor's degree","standard","none","82","83","85"
"masculino","group E","bachelor's degree","standard","none","86","71","71"
"femenino","group C","associate's degree","free/reduced","none","61","74","72"
"femenino","group D","some college","standard","completed","78","85","93"
"masculino","group C","associate's degree","standard","none","67","63","66"
"femenino","group E","some high school","standard","none","83","87","83"
"masculino","group C","some high school","standard","none","68","74","69"
"masculino","group C","some college","standard","none","53","52","44"
"masculino","group D","associate's degree","standard","none","91","88","90"
"masculino","group B","associate's degree","free/reduced","none","67","66","66"
"femenino","group C","high school","standard","completed","53","64","62"
"femenino","group C","master's degree","standard","completed","86","100","100"
"masculino","group E","some high school","free/reduced","completed","75","70","61"
"masculino","group C","some college","standard","none","55","38","35"
"masculino","group D","bachelor's degree","standard","completed","93","86","95"
"femenino","group E","high school","standard","none","62","71","66"
"masculino","group C","some college","free/reduced","none","83","76","71"
"masculino","group D","some high school","standard","none","73","72","64"
"femenino","group C","high school","free/reduced","none","57","52","53"
"femenino","group C","some college","standard","none","70","75","75"
"femenino","group B","high school","standard","completed","55","62","64"
"masculino","group C","high school","standard","none","65","56","51"
"femenino","group C","some high school","standard","completed","76","85","88"
"masculino","group C","master's degree","free/reduced","none","59","47","46"
"masculino","group C","associate's degree","standard","completed","74","73","77"
"masculino","group B","some high school","standard","none","65","59","60"
"masculino","group B","some college","standard","completed","89","87","89"
"femenino","group B","master's degree","standard","none","71","82","82"
"masculino","group C","some college","free/reduced","completed","63","69","59"
"masculino","group C","some high school","standard","completed","57","55","60"
"masculino","group B","some college","free/reduced","completed","56","67","56"
"masculino","group A","some high school","free/reduced","completed","49","44","41"
"femenino","group C","some college","free/reduced","completed","28","44","50"
"femenino","group C","bachelor's degree","free/reduced","none","69","73","71"
"femenino","group D","some high school","free/reduced","none","49","62","60"
"masculino","group B","some high school","standard","completed","67","62","58"
"femenino","group B","some college","free/reduced","completed","74","85","82"
"femenino","group C","bachelor's degree","standard","completed","47","67","63"
"femenino","group C","some college","standard","none","63","63","69"
"masculino","group C","some college","standard","none","73","51","53"
"femenino","group D","some college","standard","none","91","94","96"
"masculino","group B","some college","standard","none","80","87","79"
"femenino","group C","associate's degree","standard","none","66","73","68"
"masculino","group B","some college","standard","none","52","48","43"
"femenino","group B","some college","standard","none","65","71","65"
"masculino","group D","some college","standard","completed","83","75","71"
"femenino","group C","some high school","free/reduced","none","80","85","78"
"masculino","group E","bachelor's degree","free/reduced","none","68","68","59"
"masculino","group C","some college","free/reduced","completed","68","73","68"
"masculino","group C","associate's degree","free/reduced","none","62","43","45"
"femenino","group B","some high school","standard","none","76","88","84"
"femenino","group C","bachelor's degree","free/reduced","none","77","79","83"
"femenino","group E","master's degree","free/reduced","none","83","81","83"
"femenino","group C","some college","free/reduced","none","71","78","82"
"masculino","group D","some college","free/reduced","completed","86","91","89"
"masculino","group B","master's degree","standard","none","93","96","96"
"femenino","group B","associate's degree","free/reduced","none","60","64","60"
"femenino","group D","some high school","standard","none","57","56","58"
"masculino","group C","bachelor's degree","standard","none","84","79","74"
"femenino","group D","bachelor's degree","standard","none","66","71","75"
"masculino","group D","master's degree","standard","none","85","69","74"
"femenino","group D","master's degree","standard","completed","57","68","76"
"femenino","group C","some high school","standard","none","41","49","49"
"femenino","group C","some high school","standard","none","75","76","76"
"masculino","group D","high school","free/reduced","none","65","63","60"
"masculino","group E","some college","standard","none","78","65","60"
"femenino","group B","some high school","free/reduced","none","26","34","28"
"masculino","group E","some college","free/reduced","none","71","64","66"
"masculino","group B","bachelor's degree","standard","completed","86","92","93"
"masculino","group B","associate's degree","standard","completed","89","84","81"
"femenino","group B","high school","free/reduced","none","53","64","63"
"femenino","group C","associate's degree","standard","none","87","87","92"
"masculino","group D","associate's degree","standard","none","71","57","59"
"masculino","group D","high school","standard","none","77","80","72"
"femenino","group C","high school","free/reduced","completed","43","48","53"
"femenino","group C","associate's degree","standard","none","88","91","86"
"masculino","group E","some high school","standard","none","86","76","63"
"femenino","group E","some high school","free/reduced","completed","45","56","55"
"masculino","group C","some college","standard","none","69","56","57"
"femenino","group D","high school","standard","none","65","70","72"
"masculino","group E","some college","free/reduced","none","81","79","71"
"femenino","group A","some high school","standard","none","90","88","86"
"femenino","group E","associate's degree","standard","none","78","72","71"
"femenino","group C","master's degree","standard","completed","71","79","89"
"femenino","group C","some high school","standard","none","75","80","72"
"masculino","group C","bachelor's degree","free/reduced","none","70","60","56"
"masculino","group B","associate's degree","standard","none","54","52","48"
"masculino","group B","high school","standard","none","49","36","32"
"masculino","group B","associate's degree","free/reduced","completed","80","82","82"
"femenino","group E","bachelor's degree","standard","none","78","89","93"
"masculino","group C","bachelor's degree","standard","none","89","77","82"
"femenino","group C","bachelor's degree","standard","completed","65","83","82"
"masculino","group D","associate's degree","standard","none","78","74","71"
"femenino","group D","high school","standard","none","69","85","78"
"masculino","group D","some college","free/reduced","none","49","47","48"
"femenino","group D","master's degree","free/reduced","none","50","64","66"
"femenino","group E","some college","standard","none","79","76","71"
"femenino","group D","some college","standard","completed","89","92","97"
"masculino","group A","associate's degree","free/reduced","completed","48","61","59"
"femenino","group A","bachelor's degree","standard","none","63","67","71"
"femenino","group C","some college","standard","none","88","100","88"
"femenino","group D","associate's degree","standard","none","66","73","73"
"femenino","group B","some college","free/reduced","none","45","59","56"
"femenino","group E","some high school","standard","completed","62","78","73"
"masculino","group D","some college","free/reduced","completed","74","80","86"
"femenino","group D","bachelor's degree","free/reduced","none","82","87","90"
"masculino","group E","some college","free/reduced","completed","83","63","63"
"femenino","group D","some high school","free/reduced","completed","60","72","76"
"femenino","group D","high school","standard","none","66","73","72"
